"delta","S","v_star"
0.15,63,-6.4444740400044
0.15,64,-6.44447865147486
0.15,65,-6.4444831210228
0.15,66,-6.44448745510061
0.15,67,-6.44449165977544
0.15,68,-6.44449574075742
0.15,69,-6.44449970342562
0.15,70,-6.44450355285167
0.15,71,-6.44450729382139
0.15,72,-6.44451093085471
0.15,73,-6.44451446822382
0.15,74,-6.44451790996992
0.15,75,-6.44452125991868
0.15,76,-6.44452452169436
0.15,77,-6.44452769873289
0.15,78,-6.444530794294
0.15,79,-6.44453381147234
0.15,80,-6.44453675320776
0.15,81,-6.44453962229496
0.15,82,-6.44454242139225
0.15,83,-6.44454515302982
0.15,84,-6.44454781961736
0.15,85,-6.44455042345113
0.15,86,-6.4445529667206
0.15,87,-6.44455545151451
0.15,88,-6.44455787982668
0.15,89,-6.4445602535613
0.15,90,-6.4445625745379
0.15,91,-6.44456484449603
0.15,92,-6.44456706509959
0.15,93,-6.44456923794092
0.15,94,-6.44457136454456
0.15,95,-6.44457344637088
0.15,96,-6.44457548481938
0.15,97,-6.44457748123183
0.15,98,-6.44457943689524
0.15,99,-6.44458135304461
0.15,100,-6.44458323086553
0.15,101,-6.44458507149662
0.15,102,-6.44458687603186
0.15,103,-6.44458864552273
0.15,104,-6.44459038098026
0.15,105,-6.44459208337697
0.15,106,-6.44459375364867
0.15,107,-6.44459539269617
0.15,108,-6.44459700138693
0.15,109,-6.44459858055657
0.15,110,-6.44460013101031
0.15,111,-6.44460165352436
0.15,112,-6.4446031488472
0.15,113,-6.4446046177008
0.15,114,-6.44460606078182
0.15,115,-6.44460747876267
0.15,116,-6.44460887229256
0.15,117,-6.44461024199853
0.15,118,-6.44461158848634
0.15,119,-6.44461291234138
0.15,120,-6.44461421412956
0.15,121,-6.44461549439804
0.15,122,-6.44461675367605
0.15,123,-6.44461799247563
0.15,124,-6.44461921129227
0.15,125,-6.44462041060562
0.15,126,-6.4446215908801
0.15,127,-6.44462275256549
0.15,128,-6.44462389609752
0.15,129,-6.44462502189841
0.15,130,-6.44462613037739
0.15,131,-6.44462722193119
0.15,132,-6.4446282969445
0.15,133,-6.44462935579046
0.15,134,-6.44463039883108
0.15,135,-6.4446314264176
0.15,136,-6.44463243889098
