delta,S,n_zero_crossings,action_structure,zero_crossings,H_at_left_boundary,H_at_right_boundary
0.03,58,0,no_zero_all_positive,NA,1.3638375360032775,0.0016628864445429326
0.03,60,0,no_zero_all_positive,NA,1.3638376578722067,0.0017201699525031255
0.03,62,0,no_zero_all_positive,NA,1.3638377718786399,0.001777449637493822
0.03,64,0,no_zero_all_positive,NA,1.3638378787596848,0.001834725499898049
0.03,66,0,no_zero_all_positive,NA,1.3638379791631028,0.001891997540098389
0.03,68,0,no_zero_all_positive,NA,1.3638380736604478,0.0019492657584769812
0.03,70,0,no_zero_all_positive,NA,1.363838162757954,0.0020065301554170745
0.03,72,0,no_zero_all_positive,NA,1.3638382469056074,0.0020637907313005854
0.03,74,0,no_zero_all_positive,NA,1.3638383265047467,0.002121047486510097
0.03,76,0,no_zero_all_positive,NA,1.3638384019144643,0.00217830042142797
0.03,78,0,no_zero_all_positive,NA,1.3638384734570228,0.0022355495364367872
0.03,80,0,no_zero_all_positive,NA,1.3638385414224592,0.0022927948319186875
0.03,82,0,no_zero_all_positive,NA,1.3638386060725134,0.0023500363082558096
0.03,84,0,no_zero_all_positive,NA,1.3638386676439982,0.002407273965830292
0.03,86,0,no_zero_all_positive,NA,1.3638387263516965,0.002464507805024496
0.03,88,0,no_zero_all_positive,NA,1.363838782390867,0.0025217378262203383
0.03,90,0,no_zero_all_positive,NA,1.3638388359394122,0.002578964029799735
0.03,92,0,no_zero_all_positive,NA,1.363838887159762,0.0026361864161450477
0.03,94,0,no_zero_all_positive,NA,1.363838936200525,0.0026934049856377484
0.03,96,0,no_zero_all_positive,NA,1.363838983197926,0.0027506197386601983
0.03,98,0,no_zero_all_positive,NA,1.3638390282770683,0.0028078306755936477
0.03,100,0,no_zero_all_positive,NA,1.3638390715530466,0.0028650377968204577
0.03,102,0,no_zero_all_positive,NA,1.36383911313193,0.0029222411027218786
0.03,104,0,no_zero_all_positive,NA,1.3638391531116278,0.0029794405936798274
0.03,106,0,no_zero_all_positive,NA,1.363839191582659,0.0030366362700757765
0.03,108,0,no_zero_all_positive,NA,1.363839228628839,0.0030938281322916428
0.03,110,0,no_zero_all_positive,NA,1.3638392643278867,0.0031510161807084547
0.03,112,0,no_zero_all_positive,NA,1.3638392987519703,0.003208200415707907
0.03,114,0,no_zero_all_positive,NA,1.363839331968192,0.003265380837671472
0.03,116,0,no_zero_all_positive,NA,1.3638393640390278,0.003322557446980623
0.03,118,0,no_zero_all_positive,NA,1.3638393950227186,0.003379730244016388
0.03,120,0,no_zero_all_positive,NA,1.3638394249736203,0.0034368992291600176
0.03,122,0,no_zero_all_positive,NA,1.3638394539425258,0.0034940644027932066
0.03,124,0,no_zero_all_positive,NA,1.3638394819769522,0.0035512257652965395
0.03,126,0,no_zero_all_positive,NA,1.363839509121397,0.003608383317051489
0.03,128,0,no_zero_all_positive,NA,1.3638395354175792,0.0036655370584388614
0.03,130,0,no_zero_all_positive,NA,1.3638395609046485,0.0037226869898399073
0.03,132,0,no_zero_all_positive,NA,1.3638395856193837,0.0037798331116354333
0.03,134,0,no_zero_all_positive,NA,1.3638396095963659,0.003836975424206468
0.03,136,0,no_zero_all_positive,NA,1.3638396328681432,0.0038941139279338177
0.03,138,0,no_zero_all_positive,NA,1.3638396554653767,0.003951248623198067
0.03,140,0,no_zero_all_positive,NA,1.3638396774169763,0.0040083795103804665
0.03,142,0,no_zero_all_positive,NA,1.3638396987502208,0.004065506589861156
0.03,144,0,no_zero_all_positive,NA,1.3638397194908758,0.0041226298620213875
0.03,146,0,no_zero_all_positive,NA,1.3638397396632946,0.0041797493272413
0.03,148,0,no_zero_all_positive,NA,1.3638397592905127,0.004236864985901478
0.03,150,0,no_zero_all_positive,NA,1.3638397783943388,0.004293976838382729
0.03,152,0,no_zero_all_positive,NA,1.3638397969954337,0.004351084885065193
0.03,154,0,no_zero_all_positive,NA,1.363839815113383,0.004408189126329454
0.03,156,0,no_zero_all_positive,NA,1.3638398327667702,0.004465289562555652
0.03,158,0,no_zero_all_positive,NA,1.3638398499732367,0.004522386194124373
0.03,160,0,no_zero_all_positive,NA,1.363839866749541,0.0045794790214157555
0.03,162,0,no_zero_all_positive,NA,1.3638398831116172,0.004636568044809941
0.03,164,0,no_zero_all_positive,NA,1.363839899074618,0.00469365326468707
0.03,166,0,no_zero_all_positive,NA,1.363839914652968,0.004750734681427282
0.03,168,0,no_zero_all_positive,NA,1.363839929860406,0.004807812295410718
0.03,170,0,no_zero_all_positive,NA,1.3638399447100218,0.004864886107017297
0.03,172,0,no_zero_all_positive,NA,1.3638399592142978,0.004921956116626713
0.03,174,0,no_zero_all_positive,NA,1.3638399733851427,0.004979022324619331
0.03,176,0,no_zero_all_positive,NA,1.3638399872339226,0.005036084731374624
0.03,178,0,no_zero_all_positive,NA,1.363840000771495,0.00509314333727251
0.03,180,0,no_zero_all_positive,NA,1.3638400140082325,0.005150198142692908
0.03,182,0,no_zero_all_positive,NA,1.3638400269540525,0.005207249148015292
0.03,184,0,no_zero_all_positive,NA,1.363840039618442,0.005264296353619358
0.03,186,0,no_zero_all_positive,NA,1.3638400520104792,0.00532133975988458
0.03,188,0,no_zero_all_positive,NA,1.3638400641388562,0.0053783793671906555
0.03,190,0,no_zero_all_positive,NA,1.3638400760118992,0.005435415175917058
0.03,192,0,no_zero_all_positive,NA,1.3638400876375876,0.005492447186443261
0.03,194,0,no_zero_all_positive,NA,1.3638400990235704,0.005549475399148518
0.03,196,0,no_zero_all_positive,NA,1.363840110177187,0.005606499814412302
0.03,198,0,no_zero_all_positive,NA,1.3638401211054778,0.005663520432613645
0.03,200,0,no_zero_all_positive,NA,1.363840131815203,0.005720537254132241
0.04,2,0,no_zero_all_positive,NA,1.2192987621125562,5.739454077158257e-5
0.04,4,0,no_zero_all_positive,NA,1.2193517704121006,1.1478524745345275e-4
0.04,6,0,no_zero_all_positive,NA,1.2193694405721283,1.7217212042996977e-4
0.04,8,0,no_zero_all_positive,NA,1.2193782757884317,2.2955516008504873e-4
0.04,10,0,no_zero_all_positive,NA,1.219383576961827,2.8693436680304885e-4
0.04,12,0,no_zero_all_positive,NA,1.2193871110955967,3.443097409676632e-4
0.04,14,0,no_zero_all_positive,NA,1.219389635485762,4.0168128296302896e-4
0.04,16,0,no_zero_all_positive,NA,1.2193915287832533,4.590489931728392e-4
0.04,18,0,no_zero_all_positive,NA,1.2193930013508527,5.164128719814531e-4
0.04,20,0,no_zero_all_positive,NA,1.21939417940675,5.737729197723418e-4
0.04,22,0,no_zero_all_positive,NA,1.2193951432718675,6.311291369291983e-4
0.04,24,0,no_zero_all_positive,NA,1.219395946493625,6.884815238359376e-4
0.04,26,0,no_zero_all_positive,NA,1.2193966261433908,7.45830080876031e-4
0.04,28,0,no_zero_all_positive,NA,1.2193972087007612,8.031748084333934e-4
0.04,30,0,no_zero_all_positive,NA,1.2193977135841345,8.605157068912739e-4
0.04,32,0,no_zero_all_positive,NA,1.2193981553573294,9.178527766333655e-4
0.04,34,0,no_zero_all_positive,NA,1.2193985451573963,9.751860180431393e-4
0.04,36,0,no_zero_all_positive,NA,1.2193988916464933,0.0010325154315038443
0.04,38,0,no_zero_all_positive,NA,1.2193992016631718,0.0010898410173989515
0.04,40,0,no_zero_all_positive,NA,1.2193994806782784,0.0011471627761117098
0.04,42,0,no_zero_all_positive,NA,1.2193997331205957,0.0012044807080255904
0.04,44,0,no_zero_all_positive,NA,1.2193999626136758,0.001261794813523398
0.04,46,0,no_zero_all_positive,NA,1.2194001721508891,0.001319105092988604
0.04,48,0,no_zero_all_positive,NA,1.2194003642267137,0.0013764115468042348
0.04,50,0,no_zero_all_positive,NA,1.2194005409365094,0.0014337141753530958
0.04,52,0,no_zero_all_positive,NA,1.2194007040532762,0.0014910129790186577
0.04,54,0,no_zero_all_positive,NA,1.2194008550873476,0.0015483079581835035
0.04,56,0,no_zero_all_positive,NA,1.219400995333295,0.0016055991132306602
0.04,58,0,no_zero_all_positive,NA,1.2194011259071276,0.0016628864445429326
