delta,S,nu_min,H_at_nu_min,H_at_minus_10,H_at_plus_10,H_left_boundary,H_right_boundary
0.05,142,NA,NA,1.0593999764778188,0.004065506589861156,NA,1.420436678647837
0.05,147,NA,NA,1.0594000272712607,0.0042083076323675694,NA,1.420444215164673
0.05,152,NA,NA,1.0594000747230317,0.004351084885065193,NA,1.4204512559177709
0.05,157,NA,NA,1.059400119152399,0.004493838353898605,NA,1.420457848267568
0.05,162,NA,NA,1.0594001608392147,0.004636568044809941,NA,1.4204640337281953
0.05,167,NA,NA,1.0594002000298162,0.004779273963739783,NA,1.4204698488425764
0.05,172,NA,NA,1.0594002369418958,0.004921956116626713,NA,1.4204753259049099
0.05,177,NA,NA,1.059400271768549,0.005064614509407095,NA,1.4204804935607105
0.05,182,NA,NA,1.059400304681651,0.005207249148015292,NA,1.4204853773079504
0.05,187,NA,NA,1.0594003358346946,0.005349860038383891,NA,1.4204899999178133
0.05,192,NA,NA,1.0594003653651851,0.005492447186443261,NA,1.4204943817897107
0.05,197,NA,NA,1.0594003933966671,0.005635010598122214,NA,1.4204985412522406
0.060000000000000005,2,NA,NA,0.8820300901316591,5.739454077158257e-5,NA,1.3352606806514313
0.060000000000000005,7,NA,NA,0.8821058172751355,2.0086411939868043e-4,NA,1.346369412730273
0.060000000000000005,12,NA,NA,0.8821184391147001,3.443097409676632e-4,NA,1.3482349759553227
0.060000000000000005,17,NA,NA,0.8821236363966543,4.8773141147839816e-4,NA,1.349004330093272
0.060000000000000005,22,NA,NA,0.8821264712909718,6.311291369289762e-4,NA,1.3494242687034543
0.060000000000000005,27,NA,NA,0.8821282562292294,7.74502923316156e-4,NA,1.3496887799303037
0.060000000000000005,32,NA,NA,0.8821294833764324,9.178527766333655e-4,NA,1.3498706786831451
0.060000000000000005,37,NA,NA,0.8821303788633357,0.0010611787028731445,NA,1.3500034399348058
0.060000000000000005,42,NA,NA,0.8821310611396986,0.0012044807080255904,NA,1.3501046051432548
0.060000000000000005,47,NA,NA,0.8821315982512588,0.00134775879807858,NA,1.3501842542239835
0.060000000000000005,52,NA,NA,0.8821320320723796,0.0014910129790186577,NA,1.3502485915669615
0.060000000000000005,57,NA,NA,0.8821323897846967,0.0016342432568297038,NA,1.3503016452825196
0.060000000000000005,62,NA,NA,0.8821326898015929,0.001777449637494044,NA,1.3503461444743035
0.060000000000000005,67,NA,NA,0.8821329450399309,0.0019206321269913396,NA,1.3503840038107937
0.060000000000000005,72,NA,NA,0.8821331648285604,0.0020637907313003634,NA,1.3504166062433762
0.060000000000000005,77,NA,NA,0.8821333560732578,0.002206925456397224,NA,1.350444975600708
0.060000000000000005,82,NA,NA,0.8821335239954664,0.0023500363082555875,NA,1.3504698860529019
0.060000000000000005,87,NA,NA,0.8821336726162994,0.0024931232928482316,NA,1.350491933837391
0.060000000000000005,92,NA,NA,0.8821338050827146,0.0026361864161450477,NA,1.3505115856005732
0.060000000000000005,97,NA,NA,0.8821339238928168,0.0027792256841141505,NA,1.3505292117912593
0.060000000000000005,102,NA,NA,0.8821340310548835,0.0029222411027218786,NA,1.3505451102342774
0.060000000000000005,107,NA,NA,0.8821341282018149,0.00306523267793235,NA,1.3505595230957932
0.060000000000000005,112,NA,NA,0.8821342166749233,0.003208200415707907,NA,1.350572649305083
0.060000000000000005,117,NA,NA,0.8821342975862352,0.00335114432200867,NA,1.3505846537917414
0.060000000000000005,122,NA,NA,0.8821343718654793,0.0034940644027932066,NA,1.3505956744517837
0.060000000000000005,127,NA,NA,0.8821344402959694,0.003636960664017419,NA,1.3506058274684485
0.060000000000000005,132,NA,NA,0.8821345035423371,0.0037798331116354333,NA,1.3506152114238954
0.060000000000000005,137,NA,NA,0.8821345621721852,0.003922681751600043,NA,1.3506239105106503
0.060000000000000005,142,NA,NA,0.8821346166731743,0.004065506589861156,NA,1.3506319970646696
0.060000000000000005,147,NA,NA,0.8821346674666162,0.0042083076323675694,NA,1.3506395335815056
0.060000000000000005,152,NA,NA,0.8821347149183871,0.004351084885065193,NA,1.3506465743346034
0.060000000000000005,157,NA,NA,0.8821347593477544,0.004493838353898605,NA,1.3506531666844006
0.060000000000000005,162,NA,NA,0.8821348010345702,0.004636568044809941,NA,1.3506593521450279
0.060000000000000005,167,NA,NA,0.8821348402251716,0.004779273963739783,NA,1.350665167259409
0.060000000000000005,172,NA,NA,0.8821348771372512,0.004921956116626713,NA,1.3506706443217424
0.060000000000000005,177,NA,NA,0.8821349119639044,0.005064614509407095,NA,1.350675811977543
0.060000000000000005,182,NA,NA,0.8821349448770064,0.005207249148015292,NA,1.350680695724783
0.060000000000000005,187,NA,NA,0.8821349760300501,0.005349860038383891,NA,1.350685318334646
0.060000000000000005,192,NA,NA,0.8821350055605406,0.005492447186443261,NA,1.3506897002065432
0.060000000000000005,197,NA,NA,0.8821350335920226,0.005635010598122214,NA,1.3506938596690732
0.06999999999999999,2,NA,NA,0.6856210840319261,5.739454077158257e-5,NA,1.2615614224684535
0.06999999999999999,7,NA,NA,0.6856968111754025,2.0086411939868043e-4,NA,1.2726701545472952
0.06999999999999999,12,NA,NA,0.6857094330149671,3.443097409676632e-4,NA,1.2745357177723449
0.06999999999999999,17,NA,NA,0.6857146302969213,4.8773141147839816e-4,NA,1.275305071910294
0.06999999999999999,22,NA,NA,0.6857174651912388,6.311291369289762e-4,NA,1.2757250105204765
0.06999999999999999,27,NA,NA,0.6857192501294964,7.74502923316156e-4,NA,1.2759895217473258
0.06999999999999999,32,NA,NA,0.6857204772766994,9.178527766333655e-4,NA,1.2761714205001673
0.06999999999999999,37,NA,NA,0.6857213727636027,0.0010611787028731445,NA,1.276304181751828
0.06999999999999999,42,NA,NA,0.6857220550399656,0.0012044807080255904,NA,1.276405346960277
0.06999999999999999,47,NA,NA,0.6857225921515258,0.00134775879807858,NA,1.2764849960410056
0.06999999999999999,52,NA,NA,0.6857230259726466,0.0014910129790186577,NA,1.2765493333839837
0.06999999999999999,57,NA,NA,0.6857233836849637,0.0016342432568297038,NA,1.2766023870995418
0.06999999999999999,62,NA,NA,0.6857236837018599,0.001777449637494044,NA,1.2766468862913256
0.06999999999999999,67,NA,NA,0.6857239389401979,0.0019206321269913396,NA,1.2766847456278159
0.06999999999999999,72,NA,NA,0.6857241587288274,0.0020637907313003634,NA,1.2767173480603984
0.06999999999999999,77,NA,NA,0.6857243499735248,0.002206925456397224,NA,1.2767457174177301
