delta,S,regime,n_zero_crossings,v_star
0.04,138,all_action,0,NA
0.04,140,all_action,0,NA
0.04,142,all_action,0,NA
0.04,144,all_action,0,NA
0.04,146,all_action,0,NA
0.04,148,all_action,0,NA
0.04,150,all_action,0,NA
0.04,152,all_action,0,NA
0.04,154,all_action,0,NA
0.04,156,all_action,0,NA
0.04,158,all_action,0,NA
0.04,160,all_action,0,NA
0.04,162,all_action,0,NA
0.04,164,all_action,0,NA
0.04,166,all_action,0,NA
0.04,168,all_action,0,NA
0.04,170,all_action,0,NA
0.04,172,all_action,0,NA
0.04,174,all_action,0,NA
0.04,176,all_action,0,NA
0.04,178,all_action,0,NA
0.04,180,all_action,0,NA
0.04,182,all_action,0,NA
0.04,184,all_action,0,NA
0.04,186,all_action,0,NA
0.04,188,all_action,0,NA
0.04,190,all_action,0,NA
0.04,192,all_action,0,NA
0.04,194,all_action,0,NA
0.04,196,all_action,0,NA
0.04,198,all_action,0,NA
0.04,200,all_action,0,NA
0.05,2,all_action,0,NA
0.05,4,all_action,0,NA
0.05,6,all_action,0,NA
0.05,8,all_action,0,NA
0.05,10,all_action,0,NA
0.05,12,all_action,0,NA
0.05,14,all_action,0,NA
0.05,16,all_action,0,NA
0.05,18,all_action,0,NA
0.05,20,all_action,0,NA
0.05,22,all_action,0,NA
0.05,24,all_action,0,NA
0.05,26,all_action,0,NA
0.05,28,all_action,0,NA
0.05,30,all_action,0,NA
0.05,32,all_action,0,NA
0.05,34,all_action,0,NA
0.05,36,all_action,0,NA
0.05,38,all_action,0,NA
0.05,40,all_action,0,NA
0.05,42,all_action,0,NA
0.05,44,all_action,0,NA
0.05,46,all_action,0,NA
0.05,48,all_action,0,NA
0.05,50,all_action,0,NA
0.05,52,all_action,0,NA
0.05,54,all_action,0,NA
0.05,56,all_action,0,NA
0.05,58,all_action,0,NA
0.05,60,all_action,0,NA
0.05,62,all_action,0,NA
0.05,64,all_action,0,NA
0.05,66,all_action,0,NA
0.05,68,all_action,0,NA
0.05,70,all_action,0,NA
0.05,72,all_action,0,NA
0.05,74,all_action,0,NA
0.05,76,all_action,0,NA
0.05,78,all_action,0,NA
0.05,80,all_action,0,NA
0.05,82,all_action,0,NA
0.05,84,all_action,0,NA
0.05,86,all_action,0,NA
0.05,88,all_action,0,NA
0.05,90,all_action,0,NA
0.05,92,all_action,0,NA
0.05,94,all_action,0,NA
0.05,96,all_action,0,NA
0.05,98,all_action,0,NA
0.05,100,all_action,0,NA
0.05,102,all_action,0,NA
0.05,104,all_action,0,NA
0.05,106,all_action,0,NA
0.05,108,all_action,0,NA
0.05,110,all_action,0,NA
0.05,112,all_action,0,NA
0.05,114,all_action,0,NA
0.05,116,all_action,0,NA
0.05,118,all_action,0,NA
0.05,120,all_action,0,NA
0.05,122,all_action,0,NA
0.05,124,all_action,0,NA
0.05,126,all_action,0,NA
0.05,128,all_action,0,NA
0.05,130,all_action,0,NA
0.05,132,all_action,0,NA
0.05,134,all_action,0,NA
0.05,136,all_action,0,NA
0.05,138,all_action,0,NA
0.05,140,all_action,0,NA
